"name"	"taxRank"	"taxID"	"Max"	"kraken2_classification_june_BC01.kreport.cladeReads"	"kraken2_classification_june_BC02.kreport.cladeReads"	"kraken2_classification_june_BC03.kreport.cladeReads"	"kraken2_classification_june_BC04.kreport.cladeReads"	"kraken2_classification_june_BC05.kreport.cladeReads"	"kraken2_classification_june_BC06.kreport.cladeReads"	"kraken2_classification_june_BC07.kreport.cladeReads"	"kraken2_classification_june_BC08.kreport.cladeReads"	"kraken2_classification_june_BC09.kreport.cladeReads"	"kraken2_classification_june_BC10.kreport.cladeReads"	"kraken2_classification_june_BC11.kreport.cladeReads"	"kraken2_classification_june_BC12.kreport.cladeReads"	"Max.1"	"kraken2_classification_june_BC01.kreport.cladeReads.."	"kraken2_classification_june_BC02.kreport.cladeReads.."	"kraken2_classification_june_BC03.kreport.cladeReads.."	"kraken2_classification_june_BC04.kreport.cladeReads.."	"kraken2_classification_june_BC05.kreport.cladeReads.."	"kraken2_classification_june_BC06.kreport.cladeReads.."	"kraken2_classification_june_BC07.kreport.cladeReads.."	"kraken2_classification_june_BC08.kreport.cladeReads.."	"kraken2_classification_june_BC09.kreport.cladeReads.."	"kraken2_classification_june_BC10.kreport.cladeReads.."	"kraken2_classification_june_BC11.kreport.cladeReads.."	"kraken2_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Crinalium"	"G"	241421	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6102	0.5602	0.4766	0.6102	NA	0.338	NA	NA	0.0005618	NA	NA	0.05977	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae"
"Crinalium epipsammum"	"S"	241425	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6102	0.5602	0.4766	0.6102	NA	0.338	NA	NA	0.0005618	NA	NA	0.05977	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium"
"Crinalium epipsammum PCC 9333"	"-"	1173022	1099	1099	35	970	NA	639	NA	NA	1	NA	NA	53	NA	0.6102	0.5602	0.4766	0.6102	NA	0.338	NA	NA	0.0005618	NA	NA	0.05977	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium>Crinalium&nbsp;epipsammum"
"Coleofasciculaceae"	"F"	1892251	475	475	17	445	NA	314	NA	NA	NA	NA	NA	27	NA	0.28	0.2421	0.2315	0.28	NA	0.1661	NA	NA	NA	NA	NA	0.03045	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Geitlerinema"	"G"	63132	475	475	17	445	NA	314	NA	NA	NA	NA	NA	27	NA	0.28	0.2421	0.2315	0.28	NA	0.1661	NA	NA	NA	NA	NA	0.03045	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae"
"Geitlerinema sp. PCC 7407"	"S"	1173025	475	475	17	445	NA	314	NA	NA	NA	NA	NA	27	NA	0.28	0.2421	0.2315	0.28	NA	0.1661	NA	NA	NA	NA	NA	0.03045	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Geitlerinema"
"Cyanothecaceae"	"F"	1892249	198	198	2	182	NA	146	NA	NA	NA	NA	NA	15	NA	0.1145	0.1009	0.02724	0.1145	NA	0.07722	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Cyanothece"	"G"	43988	198	198	2	182	NA	146	NA	NA	NA	NA	NA	15	NA	0.1145	0.1009	0.02724	0.1145	NA	0.07722	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae"
"Cyanothece sp. PCC 7822"	"S"	497965	171	171	NA	136	NA	119	NA	NA	NA	NA	NA	9	NA	0.08716	0.08716	NA	0.08556	NA	0.06294	NA	NA	NA	NA	NA	0.01015	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Oscillatoriaceae"	"F"	1892254	73	73	3	73	NA	41	NA	NA	NA	NA	NA	19	NA	0.04592	0.03721	0.04086	0.04592	NA	0.02168	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Oscillatoria"	"G"	1158	55	41	2	55	NA	25	NA	NA	NA	NA	NA	19	NA	0.0346	0.0209	0.02724	0.0346	NA	0.01322	NA	NA	NA	NA	NA	0.02143	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Oscillatoria acuminata"	"S"	118323	46	32	2	46	NA	24	NA	NA	NA	NA	NA	11	NA	0.02894	0.01631	0.02724	0.02894	NA	0.01269	NA	NA	NA	NA	NA	0.01241	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Oscillatoria acuminata PCC 6304"	"-"	56110	46	32	2	46	NA	24	NA	NA	NA	NA	NA	11	NA	0.02894	0.01631	0.02724	0.02894	NA	0.01269	NA	NA	NA	NA	NA	0.01241	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria>Oscillatoria&nbsp;acuminata"
"Oscillatoria nigro-viridis"	"S"	482564	9	9	NA	9	NA	1	NA	NA	NA	NA	NA	8	NA	0.009022	0.004588	NA	0.005662	NA	0.0005289	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Oscillatoria nigro-viridis PCC 7112"	"-"	179408	9	9	NA	9	NA	1	NA	NA	NA	NA	NA	8	NA	0.009022	0.004588	NA	0.005662	NA	0.0005289	NA	NA	NA	NA	NA	0.009022	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria>Oscillatoria&nbsp;nigro&#x2011;viridis"
"Moorea"	"G"	1155738	32	32	1	18	NA	16	NA	NA	NA	NA	NA	NA	NA	0.01631	0.01631	0.01362	0.01132	NA	0.008462	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Moorea producens"	"S"	1155739	32	32	1	18	NA	16	NA	NA	NA	NA	NA	NA	NA	0.01631	0.01631	0.01362	0.01132	NA	0.008462	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Moorea"
"Moorea producens JHB"	"-"	1454205	1	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0006291	0.0005097	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Moorea>Moorea&nbsp;producens"
"unclassified Oscillatoriales"	"-"	1892256	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	0.001019	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"unclassified Oscillatoriales (miscellaneous)"	"-"	44887	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	0.001019	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>unclassified&nbsp;Oscillatoriales"
"Oscillatoriales cyanobacterium JSC-12"	"S"	864702	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	0.001058	0.001019	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>unclassified&nbsp;Oscillatoriales>unclassified&nbsp;Oscillatoriales&nbsp;(miscellaneous)"
"Chroococcales"	"O"	1118	1733	1733	45	1515	NA	1202	NA	1	1	NA	2	69	NA	3.571	0.8834	0.6128	0.9531	NA	0.6357	NA	1.087	0.0005618	NA	3.571	0.07781	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Chroococcaceae"	"F"	1890464	1211	1211	26	1106	NA	850	NA	1	NA	NA	2	44	NA	3.571	0.6173	0.3541	0.6958	NA	0.4495	NA	1.087	NA	NA	3.571	0.04962	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Gloeocapsa"	"G"	102231	1079	1079	24	999	NA	768	NA	1	NA	NA	1	39	NA	1.786	0.55	0.3268	0.6285	NA	0.4062	NA	1.087	NA	NA	1.786	0.04398	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Gloeocapsa sp. PCC 7428"	"S"	1173026	1079	1079	24	999	NA	768	NA	1	NA	NA	1	39	NA	1.786	0.55	0.3268	0.6285	NA	0.4062	NA	1.087	NA	NA	1.786	0.04398	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsa"
"Chondrocystis"	"G"	268175	107	107	2	95	NA	67	NA	NA	NA	NA	1	5	NA	1.786	0.05454	0.02724	0.05976	NA	0.03543	NA	NA	NA	NA	1.786	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Chondrocystis sp. NIES-4102"	"S"	2005460	107	107	2	95	NA	67	NA	NA	NA	NA	1	5	NA	1.786	0.05454	0.02724	0.05976	NA	0.03543	NA	NA	NA	NA	1.786	0.005639	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Chondrocystis"
"Geminocystis"	"G"	669357	25	25	NA	11	NA	15	NA	NA	NA	NA	NA	NA	NA	0.01274	0.01274	NA	0.00692	NA	0.007933	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Geminocystis sp. NIES-3709"	"S"	1617448	8	8	NA	4	NA	6	NA	NA	NA	NA	NA	NA	NA	0.004078	0.004078	NA	0.002516	NA	0.003173	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Geminocystis sp. NIES-3708"	"S"	1615909	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002039	0.002039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Geminocystis herdmanii"	"S"	669359	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Geminocystis herdmanii PCC 6308"	"-"	113355	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis>Geminocystis&nbsp;herdmanii"
"Aphanothecaceae"	"F"	1890450	260	260	8	189	NA	164	NA	NA	1	NA	NA	4	NA	0.1325	0.1325	0.1089	0.1189	NA	0.08674	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Candidatus Atelocyanobacterium"	"G"	1453359	256	256	7	186	NA	162	NA	NA	1	NA	NA	4	NA	0.1305	0.1305	0.09533	0.117	NA	0.08568	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Candidatus Atelocyanobacterium thalassa"	"S"	713887	256	256	7	186	NA	162	NA	NA	1	NA	NA	4	NA	0.1305	0.1305	0.09533	0.117	NA	0.08568	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium"
"Candidatus Atelocyanobacterium thalassa isolate ALOHA"	"-"	1453429	256	256	7	186	NA	162	NA	NA	1	NA	NA	4	NA	0.1305	0.1305	0.09533	0.117	NA	0.08568	NA	NA	0.0005618	NA	NA	0.004511	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium>Candidatus&nbsp;Atelocyanobacterium&nbsp;thalassa"
"Halothece cluster"	"-"	92682	4	4	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01362	0.002039	0.01362	0.001887	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Halothece"	"G"	76023	4	4	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01362	0.002039	0.01362	0.001887	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster"
"Halothece sp. PCC 7418"	"S"	65093	4	4	1	3	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01362	0.002039	0.01362	0.001887	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster>Halothece"
"Cyanobacteriaceae"	"F"	1890452	214	214	6	191	NA	159	NA	NA	NA	NA	NA	15	NA	0.1202	0.1091	0.08171	0.1202	NA	0.08409	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Cyanobacterium"	"G"	102234	214	214	6	191	NA	159	NA	NA	NA	NA	NA	15	NA	0.1202	0.1091	0.08171	0.1202	NA	0.08409	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae"
"Cyanobacterium aponinum"	"S"	379064	214	214	6	191	NA	159	NA	NA	NA	NA	NA	15	NA	0.1202	0.1091	0.08171	0.1202	NA	0.08409	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae>Cyanobacterium"
"Cyanobacterium aponinum PCC 10605"	"-"	755178	214	214	6	191	NA	159	NA	NA	NA	NA	NA	15	NA	0.1202	0.1091	0.08171	0.1202	NA	0.08409	NA	NA	NA	NA	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae>Cyanobacterium>Cyanobacterium&nbsp;aponinum"
"Microcystaceae"	"F"	1890449	6	6	1	3	NA	5	NA	NA	NA	NA	NA	1	NA	0.01362	0.003058	0.01362	0.001887	NA	0.002644	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Microcystis"	"G"	1125	6	6	1	3	NA	5	NA	NA	NA	NA	NA	1	NA	0.01362	0.003058	0.01362	0.001887	NA	0.002644	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae"
"Microcystis aeruginosa"	"S"	1126	4	4	1	2	NA	3	NA	NA	NA	NA	NA	NA	NA	0.01362	0.002039	0.01362	0.001258	NA	0.001587	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis aeruginosa NIES-843"	"-"	449447	4	4	1	2	NA	2	NA	NA	NA	NA	NA	NA	NA	0.01362	0.002039	0.01362	0.001258	NA	0.001058	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis>Microcystis&nbsp;aeruginosa"
"Microcystis sp. MC19"	"S"	1967666	2	2	NA	1	NA	2	NA	NA	NA	NA	NA	1	NA	0.001128	0.001019	NA	0.0006291	NA	0.001058	NA	NA	NA	NA	NA	0.001128	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Nostocales"	"O"	1161	6696	6696	167	6076	1	3857	1	1	6	NA	NA	357	1	3.822	3.413	2.274	3.822	0.6289	2.04	0.6849	1.087	0.003371	NA	NA	0.4026	0.5495	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Rivulariaceae"	"F"	1185	4119	4119	94	3637	1	2117	1	NA	1	NA	NA	96	NA	2.288	2.1	1.28	2.288	0.6289	1.12	0.6849	NA	0.0005618	NA	NA	0.1083	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Calothrix"	"G"	1186	4106	4106	94	3625	NA	2109	1	NA	1	NA	NA	94	NA	2.281	2.093	1.28	2.281	NA	1.115	0.6849	NA	0.0005618	NA	NA	0.106	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Calothrix sp. NIES-3974"	"S"	2005462	4003	4003	86	3525	NA	2043	1	NA	1	NA	NA	81	NA	2.218	2.04	1.171	2.218	NA	1.081	0.6849	NA	0.0005618	NA	NA	0.09135	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix parietina"	"S"	32054	48	48	5	44	NA	30	NA	NA	NA	NA	NA	3	NA	0.06809	0.02447	0.06809	0.02768	NA	0.01587	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. PCC 6303"	"-"	1170562	48	48	5	44	NA	30	NA	NA	NA	NA	NA	3	NA	0.06809	0.02447	0.06809	0.02768	NA	0.01587	NA	NA	NA	NA	NA	0.003383	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix>Calothrix&nbsp;parietina"
"Calothrix sp. PCC 7507"	"S"	99598	7	5	NA	7	NA	4	NA	NA	NA	NA	NA	NA	NA	0.004404	0.002549	NA	0.004404	NA	0.002116	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-4101"	"S"	2005461	3	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.001529	0.001529	NA	0.0006291	NA	0.0005289	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Calothrix sp. NIES-2098"	"S"	1954171	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0005097	0.0005097	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Calothrix"
"Rivularia"	"G"	373984	11	9	NA	11	1	8	NA	NA	NA	NA	NA	NA	NA	0.6289	0.004588	NA	0.00692	0.6289	0.004231	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae"
"Rivularia sp. PCC 7116"	"S"	373994	11	9	NA	11	1	8	NA	NA	NA	NA	NA	NA	NA	0.6289	0.004588	NA	0.00692	0.6289	0.004231	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Rivulariaceae>Rivularia"
"Aphanizomenonaceae"	"F"	1892259	631	631	19	611	NA	395	NA	NA	NA	NA	NA	52	NA	0.3844	0.3216	0.2587	0.3844	NA	0.2089	NA	NA	NA	NA	NA	0.05864	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales"
"Dolichospermum"	"G"	748770	607	607	18	567	NA	364	NA	NA	NA	NA	NA	21	NA	0.3567	0.3094	0.2451	0.3567	NA	0.1925	NA	NA	NA	NA	NA	0.02368	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
"Dolichospermum compactum"	"S"	136073	607	607	18	567	NA	364	NA	NA	NA	NA	NA	21	NA	0.3567	0.3094	0.2451	0.3567	NA	0.1925	NA	NA	NA	NA	NA	0.02368	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Dolichospermum"
"Dolichospermum compactum NIES-806"	"-"	1973481	607	607	18	567	NA	364	NA	NA	NA	NA	NA	21	NA	0.3567	0.3094	0.2451	0.3567	NA	0.1925	NA	NA	NA	NA	NA	0.02368	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae>Dolichospermum>Dolichospermum&nbsp;compactum"
"Nodularia"	"G"	159191	39	24	1	39	NA	30	NA	NA	NA	NA	NA	31	NA	0.03496	0.01223	0.01362	0.02454	NA	0.01587	NA	NA	NA	NA	NA	0.03496	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Nostocales>Aphanizomenonaceae"
