"name"	"taxRank"	"taxID"	"Max"	"kraken2_16s_classification_june_BC01.cladeReads"	"kraken2_16s_classification_june_BC02.cladeReads"	"kraken2_16s_classification_june_BC03.cladeReads"	"kraken2_16s_classification_june_BC04.cladeReads"	"kraken2_16s_classification_june_BC05.cladeReads"	"kraken2_16s_classification_june_BC06.cladeReads"	"kraken2_16s_classification_june_BC08.cladeReads"	"kraken2_16s_classification_june_BC09.cladeReads"	"kraken2_16s_classification_june_BC10.cladeReads"	"kraken2_16s_classification_june_BC11.cladeReads"	"kraken2_16s_classification_june_BC12.cladeReads"	"Max.1"	"kraken2_16s_classification_june_BC01.cladeReads.."	"kraken2_16s_classification_june_BC02.cladeReads.."	"kraken2_16s_classification_june_BC03.cladeReads.."	"kraken2_16s_classification_june_BC04.cladeReads.."	"kraken2_16s_classification_june_BC05.cladeReads.."	"kraken2_16s_classification_june_BC06.cladeReads.."	"kraken2_16s_classification_june_BC08.cladeReads.."	"kraken2_16s_classification_june_BC09.cladeReads.."	"kraken2_16s_classification_june_BC10.cladeReads.."	"kraken2_16s_classification_june_BC11.cladeReads.."	"kraken2_16s_classification_june_BC12.cladeReads.."	"lineage"
"Undibacterium"	"G"	26461	105	34	2	28	NA	105	1	1	NA	NA	46	NA	0.6757	0.01695	0.02712	0.01716	NA	0.05399	0.6757	0.0005497	NA	NA	0.05055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ottowia"	"G"	26421	249	34	3	6	NA	249	NA	NA	NA	NA	142	NA	0.156	0.01695	0.04068	0.003678	NA	0.128	NA	NA	NA	NA	0.156	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudorhodoferax"	"G"	26440	353	34	9	12	NA	353	NA	2	NA	NA	170	NA	0.1868	0.01695	0.1221	0.007355	NA	0.1815	NA	0.001099	NA	NA	0.1868	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alcaligenes"	"G"	26358	142	34	2	21	NA	142	NA	2	NA	NA	123	NA	0.1352	0.01695	0.02712	0.01287	NA	0.07301	NA	0.001099	NA	NA	0.1352	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Symbiobacter"	"G"	26377	316	32	6	14	NA	316	NA	2	NA	NA	240	NA	0.2637	0.01596	0.08137	0.008581	NA	0.1625	NA	0.001099	NA	NA	0.2637	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhizobacter"	"G"	26445	138	30	1	14	NA	138	NA	1	NA	NA	134	NA	0.1473	0.01496	0.01356	0.008581	NA	0.07096	NA	0.0005497	NA	NA	0.1473	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Cupriavidus"	"G"	26386	211	30	4	18	NA	211	NA	3	NA	NA	173	NA	0.1901	0.01496	0.05424	0.01103	NA	0.1085	NA	0.001649	NA	NA	0.1901	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"MWH-UniP1 aquatic group"	"G"	26411	174	30	1	10	NA	174	NA	1	NA	NA	116	NA	0.1275	0.01496	0.01356	0.00613	NA	0.08947	NA	0.0005497	NA	NA	0.1275	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herbaspirillum"	"G"	26397	154	28	4	15	NA	154	NA	2	NA	NA	102	NA	0.1121	0.01396	0.05424	0.009194	NA	0.07918	NA	0.001099	NA	NA	0.1121	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Janthinobacterium"	"G"	26403	172	27	NA	14	NA	172	NA	1	NA	NA	95	NA	0.1044	0.01346	NA	0.008581	NA	0.08844	NA	0.0005497	NA	NA	0.1044	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sphaerotilus"	"G"	26453	112	26	4	10	NA	112	NA	NA	NA	NA	77	NA	0.08461	0.01296	0.05424	0.00613	NA	0.05759	NA	NA	NA	NA	0.08461	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"GKS98 freshwater group"	"G"	26394	146	22	NA	9	NA	80	NA	1	NA	NA	146	NA	0.1604	0.01097	NA	0.005517	NA	0.04113	NA	0.0005497	NA	NA	0.1604	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Ideonella"	"G"	26401	97	22	2	11	NA	97	NA	NA	NA	NA	86	NA	0.0945	0.01097	0.02712	0.006742	NA	0.04988	NA	NA	NA	NA	0.0945	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Herminiimonas"	"G"	26398	107	18	1	6	NA	107	NA	NA	NA	NA	88	NA	0.0967	0.008975	0.01356	0.003678	NA	0.05502	NA	NA	NA	NA	0.0967	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Roseateles"	"G"	26448	50	17	NA	10	NA	50	NA	NA	NA	NA	47	NA	0.05165	0.008477	NA	0.00613	NA	0.02571	NA	NA	NA	NA	0.05165	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Lautropia"	"G"	26407	52	13	NA	4	NA	52	NA	1	NA	NA	44	NA	0.04835	0.006482	NA	0.002452	NA	0.02674	NA	0.0005497	NA	NA	0.04835	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Bordetella"	"G"	26365	30	13	2	5	NA	30	NA	NA	NA	NA	28	NA	0.03077	0.006482	0.02712	0.003065	NA	0.01543	NA	NA	NA	NA	0.03077	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Limnobacter"	"G"	26409	28	13	NA	8	NA	28	NA	NA	NA	NA	27	NA	0.02967	0.006482	NA	0.004904	NA	0.0144	NA	NA	NA	NA	0.02967	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Vidania"	"G"	26379	58	13	NA	5	NA	58	NA	1	NA	NA	47	NA	0.05165	0.006482	NA	0.003065	NA	0.02982	NA	0.0005497	NA	NA	0.05165	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parasutterella"	"G"	26429	63	12	1	11	NA	63	NA	NA	NA	NA	58	NA	0.06374	0.005984	0.01356	0.006742	NA	0.03239	NA	NA	NA	NA	0.06374	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Xylophilus"	"G"	26466	52	10	NA	5	NA	52	NA	NA	NA	NA	35	NA	0.03846	0.004986	NA	0.003065	NA	0.02674	NA	NA	NA	NA	0.03846	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Caenimonas"	"G"	26370	46	9	2	5	NA	46	NA	NA	NA	NA	32	NA	0.03516	0.004488	0.02712	0.003065	NA	0.02365	NA	NA	NA	NA	0.03516	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rubrivivax"	"G"	26449	17	8	NA	NA	NA	8	NA	NA	NA	NA	17	NA	0.01868	0.003989	NA	NA	NA	0.004113	NA	NA	NA	NA	0.01868	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"AAP99"	"G"	26353	11	8	NA	11	NA	10	NA	NA	NA	NA	11	NA	0.01209	0.003989	NA	0.006742	NA	0.005142	NA	NA	NA	NA	0.01209	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Collimonas"	"G"	26383	29	8	1	1	NA	29	NA	2	NA	NA	17	NA	0.01868	0.003989	0.01356	0.000613	NA	0.01491	NA	0.001099	NA	NA	0.01868	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Duganella"	"G"	26391	47	7	1	4	NA	37	NA	1	NA	NA	47	NA	0.05165	0.00349	0.01356	0.002452	NA	0.01902	NA	0.0005497	NA	NA	0.05165	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"RS62 marine group"	"G"	26442	15	6	NA	1	NA	15	NA	NA	NA	NA	14	NA	0.01538	0.002992	NA	0.000613	NA	0.007713	NA	NA	NA	NA	0.01538	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Thiomonas"	"G"	26459	23	6	NA	3	1	12	NA	NA	NA	NA	23	NA	0.625	0.002992	NA	0.001839	0.625	0.00617	NA	NA	NA	NA	0.02527	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paucibacter"	"G"	26430	26	5	1	3	NA	26	NA	NA	NA	NA	19	NA	0.02088	0.002493	0.01356	0.001839	NA	0.01337	NA	NA	NA	NA	0.02088	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pandoraea"	"G"	26425	39	5	NA	1	NA	39	NA	NA	NA	NA	23	NA	0.02527	0.002493	NA	0.000613	NA	0.02005	NA	NA	NA	NA	0.02527	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Sutterella"	"G"	26454	30	5	NA	5	NA	30	NA	NA	NA	NA	28	NA	0.03077	0.002493	NA	0.003065	NA	0.01543	NA	NA	NA	NA	0.03077	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pseudacidovorax"	"G"	26438	42	4	1	NA	NA	42	NA	1	NA	NA	18	NA	0.0216	0.001995	0.01356	NA	NA	0.0216	NA	0.0005497	NA	NA	0.01978	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Malikia"	"G"	26413	22	4	2	1	NA	22	NA	NA	NA	NA	19	NA	0.02712	0.001995	0.02712	0.000613	NA	0.01131	NA	NA	NA	NA	0.02088	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Inhella"	"G"	26402	14	4	NA	1	NA	14	NA	NA	NA	NA	11	NA	0.01209	0.001995	NA	0.000613	NA	0.007198	NA	NA	NA	NA	0.01209	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Extensimonas"	"G"	26393	23	4	NA	1	NA	23	NA	NA	NA	NA	14	NA	0.01538	0.001995	NA	0.000613	NA	0.01183	NA	NA	NA	NA	0.01538	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Piscinibacter"	"G"	26435	5	3	NA	3	NA	3	NA	NA	NA	NA	5	NA	0.005494	0.001496	NA	0.001839	NA	0.001543	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidatus Tremblaya"	"G"	26378	7	3	NA	3	NA	7	NA	NA	NA	NA	3	NA	0.003599	0.001496	NA	0.001839	NA	0.003599	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Verticia"	"G"	26464	29	3	NA	4	NA	11	NA	NA	NA	NA	29	NA	0.03187	0.001496	NA	0.002452	NA	0.005656	NA	NA	NA	NA	0.03187	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Polyangium] brachysporum group"	"G"	26469	6	3	NA	1	NA	2	NA	NA	NA	NA	6	NA	0.006593	0.001496	NA	0.000613	NA	0.001028	NA	NA	NA	NA	0.006593	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Mitsuaria"	"G"	26416	12	2	NA	2	NA	12	NA	NA	NA	NA	6	NA	0.006593	0.0009973	NA	0.001226	NA	0.00617	NA	NA	NA	NA	0.006593	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"s3t2d-1089"	"G"	26470	5	2	NA	NA	NA	5	NA	NA	NA	NA	5	NA	0.005494	0.0009973	NA	NA	NA	0.002571	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Candidimonas"	"G"	26381	19	2	NA	NA	NA	10	NA	NA	NA	NA	19	NA	0.02088	0.0009973	NA	NA	NA	0.005142	NA	NA	NA	NA	0.02088	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Corticibacter"	"G"	26385	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	0.0005142	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Macromonas"	"G"	26412	30	2	NA	2	NA	30	NA	1	NA	NA	20	NA	0.02198	0.0009973	NA	0.001226	NA	0.01543	NA	0.0005497	NA	NA	0.02198	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kerstersia"	"G"	26404	6	2	NA	1	NA	6	NA	NA	NA	NA	3	NA	0.003297	0.0009973	NA	0.000613	NA	0.003085	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Paenalcaligenes"	"G"	26424	8	2	NA	NA	NA	8	NA	NA	NA	NA	5	NA	0.005494	0.0009973	NA	NA	NA	0.004113	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"[Aquaspirillum] arcticum group"	"G"	26468	9	2	NA	NA	NA	9	NA	NA	NA	NA	7	NA	0.007692	0.0009973	NA	NA	NA	0.004628	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Castellaniella"	"G"	26382	15	1	NA	NA	NA	15	NA	NA	NA	NA	14	NA	0.01538	0.0004986	NA	NA	NA	0.007713	NA	NA	NA	NA	0.01538	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Alicycliphilus"	"G"	26359	7	1	NA	NA	NA	6	NA	NA	NA	NA	7	NA	0.007692	0.0004986	NA	NA	NA	0.003085	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Tepidimonas"	"G"	26458	10	1	NA	NA	NA	3	NA	NA	NA	NA	10	NA	0.01099	0.0004986	NA	NA	NA	0.001543	NA	NA	NA	NA	0.01099	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pigmentiphaga"	"G"	26434	6	1	NA	NA	NA	3	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	NA	NA	0.001543	NA	NA	NA	NA	0.006593	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pusillimonas"	"G"	26441	13	1	NA	NA	NA	13	NA	NA	NA	NA	10	NA	0.01099	0.0004986	NA	NA	NA	0.006684	NA	NA	NA	NA	0.01099	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Pelistega"	"G"	26432	1	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.000613	0.0004986	NA	0.000613	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Parapusillimonas"	"G"	26428	9	1	NA	1	NA	6	NA	NA	NA	NA	9	NA	0.00989	0.0004986	NA	0.000613	NA	0.003085	NA	NA	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Actimicrobium"	"G"	26356	2	1	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oxalobacter"	"G"	26423	5	1	NA	1	NA	5	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	0.000613	NA	0.002571	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Orrella"	"G"	26420	6	1	NA	2	NA	2	NA	NA	NA	NA	6	NA	0.006593	0.0004986	NA	0.001226	NA	0.001028	NA	NA	NA	NA	0.006593	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Oligella"	"G"	26419	2	1	NA	NA	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Methylibium"	"G"	26415	7	1	NA	NA	NA	2	NA	NA	NA	NA	7	NA	0.007692	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.007692	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Advenella"	"G"	26357	9	1	NA	1	NA	9	NA	NA	NA	NA	8	NA	0.008791	0.0004986	NA	0.000613	NA	0.004628	NA	NA	NA	NA	0.008791	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Eoetvoesia"	"G"	26392	4	1	NA	1	NA	1	NA	NA	NA	NA	4	NA	0.004396	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Kinneretia"	"G"	26405	4	1	NA	NA	NA	4	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Giesbergeria"	"G"	26395	3	1	1	NA	NA	2	NA	NA	NA	NA	3	NA	0.01356	0.0004986	0.01356	NA	NA	0.001028	NA	NA	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Schlegelella"	"G"	26451	2	1	NA	NA	NA	2	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	NA	NA	0.001028	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Burkholderiaceae"
"Rhodocyclaceae"	"F"	26555	369	298	10	260	NA	231	NA	7	NA	NA	369	NA	0.4055	0.1486	0.1356	0.1594	NA	0.1188	NA	0.003848	NA	NA	0.4055	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Zoogloea"	"G"	26580	88	88	1	68	NA	17	NA	NA	NA	NA	49	NA	0.05385	0.04388	0.01356	0.04168	NA	0.008741	NA	NA	NA	NA	0.05385	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Dechloromonas"	"G"	26563	85	85	1	76	NA	49	NA	1	NA	NA	69	NA	0.07582	0.04238	0.01356	0.04658	NA	0.02519	NA	0.0005497	NA	NA	0.07582	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Thauera"	"G"	26577	38	38	NA	37	NA	11	NA	2	NA	NA	19	NA	0.02268	0.01895	NA	0.02268	NA	0.005656	NA	0.001099	NA	NA	0.02088	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Sulfuritalea"	"G"	26576	75	19	NA	12	NA	60	NA	1	NA	NA	75	NA	0.08242	0.009474	NA	0.007355	NA	0.03085	NA	0.0005497	NA	NA	0.08242	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Denitratisoma"	"G"	26565	31	16	NA	7	NA	31	NA	NA	NA	NA	13	NA	0.01594	0.007978	NA	0.004291	NA	0.01594	NA	NA	NA	NA	0.01429	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azoarcus"	"G"	26556	12	12	1	1	NA	6	NA	1	NA	NA	12	NA	0.01356	0.005984	0.01356	0.000613	NA	0.003085	NA	0.0005497	NA	NA	0.01319	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"uncultured"	"G"	26581	26	12	2	14	NA	26	NA	NA	NA	NA	26	NA	0.02857	0.005984	0.02712	0.008581	NA	0.01337	NA	NA	NA	NA	0.02857	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azospira"	"G"	26558	18	4	NA	4	NA	6	NA	NA	NA	NA	18	NA	0.01978	0.001995	NA	0.002452	NA	0.003085	NA	NA	NA	NA	0.01978	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azonexus"	"G"	26557	4	3	NA	4	NA	3	NA	NA	NA	NA	4	NA	0.004396	0.001496	NA	0.002452	NA	0.001543	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Candidatus Accumulibacter"	"G"	26561	17	3	NA	8	NA	6	NA	1	NA	NA	17	NA	0.01868	0.001496	NA	0.004904	NA	0.003085	NA	0.0005497	NA	NA	0.01868	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Ferribacterium"	"G"	26567	7	2	NA	7	NA	NA	NA	1	NA	NA	3	NA	0.004291	0.0009973	NA	0.004291	NA	NA	NA	0.0005497	NA	NA	0.003297	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Denitromonas"	"G"	26566	2	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	0.001226	0.0004986	NA	0.001226	NA	NA	NA	NA	NA	NA	NA	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Azovibrio"	"G"	26559	2	1	NA	1	NA	1	NA	NA	NA	NA	2	NA	0.002198	0.0004986	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.002198	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Uliginosibacterium"	"G"	26578	12	1	NA	1	NA	3	NA	NA	NA	NA	12	NA	0.01319	0.0004986	NA	0.000613	NA	0.001543	NA	NA	NA	NA	0.01319	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Dechlorobacter"	"G"	26562	5	1	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	0.005494	0.0004986	NA	NA	NA	NA	NA	NA	NA	NA	0.005494	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Sterolibacterium"	"G"	26574	4	1	1	NA	NA	NA	NA	NA	NA	NA	4	NA	0.01356	0.0004986	0.01356	NA	NA	NA	NA	NA	NA	NA	0.004396	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Propionivibrio"	"G"	26571	9	1	1	NA	NA	1	NA	NA	NA	NA	9	NA	0.01356	0.0004986	0.01356	NA	NA	0.0005142	NA	NA	NA	NA	0.00989	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Rhodocyclaceae"
"Methylophilaceae"	"F"	26515	893	63	3	72	NA	647	NA	9	NA	NA	893	NA	0.9813	0.03141	0.04068	0.04413	NA	0.3327	NA	0.004947	NA	NA	0.9813	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"uncultured"	"G"	26525	542	39	1	41	NA	393	NA	5	NA	NA	542	NA	0.5956	0.01945	0.01356	0.02513	NA	0.2021	NA	0.002748	NA	NA	0.5956	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Methylotenera"	"G"	26521	116	11	1	6	NA	74	NA	2	NA	NA	116	NA	0.1275	0.005485	0.01356	0.003678	NA	0.03805	NA	0.001099	NA	NA	0.1275	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Methylophilus"	"G"	26520	79	6	NA	12	NA	79	NA	2	NA	NA	77	NA	0.08461	0.002992	NA	0.007355	NA	0.04062	NA	0.001099	NA	NA	0.08461	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Candidatus Methylopumilus"	"G"	26516	23	2	NA	2	NA	13	NA	NA	NA	NA	23	NA	0.02527	0.0009973	NA	0.001226	NA	0.006684	NA	NA	NA	NA	0.02527	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"OM43 clade"	"G"	26523	45	2	1	3	NA	28	NA	NA	NA	NA	45	NA	0.04945	0.0009973	0.01356	0.001839	NA	0.0144	NA	NA	NA	NA	0.04945	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"MM2"	"G"	26518	14	1	NA	2	NA	5	NA	NA	NA	NA	14	NA	0.01538	0.0004986	NA	0.001226	NA	0.002571	NA	NA	NA	NA	0.01538	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Methylobacillus"	"G"	26519	27	1	NA	4	NA	19	NA	NA	NA	NA	27	NA	0.02967	0.0004986	NA	0.002452	NA	0.009769	NA	NA	NA	NA	0.02967	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Methylophilaceae"
"Nitrosomonadaceae"	"F"	26539	121	40	NA	49	NA	98	NA	1	NA	NA	121	NA	0.133	0.01995	NA	0.03003	NA	0.05039	NA	0.0005497	NA	NA	0.133	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales"
"Ellin6067"	"G"	26542	37	15	NA	9	NA	37	NA	NA	NA	NA	35	NA	0.03846	0.00748	NA	0.005517	NA	0.01902	NA	NA	NA	NA	0.03846	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"Nitrosomonas"	"G"	26546	29	15	NA	29	NA	15	NA	NA	NA	NA	14	NA	0.01778	0.00748	NA	0.01778	NA	0.007713	NA	NA	NA	NA	0.01538	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
"MND1"	"G"	26545	52	6	NA	7	NA	28	NA	NA	NA	NA	52	NA	0.05714	0.002992	NA	0.004291	NA	0.0144	NA	NA	NA	NA	0.05714	NA	"Bacteria>Proteobacteria>Gammaproteobacteria>Betaproteobacteriales>Nitrosomonadaceae"
