"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_april_BC01.cladeReads"	"centrifuge_16s_classification_april_BC02.cladeReads"	"centrifuge_16s_classification_april_BC04.cladeReads"	"centrifuge_16s_classification_april_BC05.cladeReads"	"centrifuge_16s_classification_april_BC06.cladeReads"	"centrifuge_16s_classification_april_BC07.cladeReads"	"centrifuge_16s_classification_april_BC08.cladeReads"	"centrifuge_16s_classification_april_BC09.cladeReads"	"centrifuge_16s_classification_april_BC10.cladeReads"	"centrifuge_16s_classification_april_BC11.cladeReads"	"centrifuge_16s_classification_april_BC12.cladeReads"	"Max.1"	"centrifuge_16s_classification_april_BC01.cladeReads.."	"centrifuge_16s_classification_april_BC02.cladeReads.."	"centrifuge_16s_classification_april_BC04.cladeReads.."	"centrifuge_16s_classification_april_BC05.cladeReads.."	"centrifuge_16s_classification_april_BC06.cladeReads.."	"centrifuge_16s_classification_april_BC07.cladeReads.."	"centrifuge_16s_classification_april_BC08.cladeReads.."	"centrifuge_16s_classification_april_BC09.cladeReads.."	"centrifuge_16s_classification_april_BC10.cladeReads.."	"centrifuge_16s_classification_april_BC11.cladeReads.."	"centrifuge_16s_classification_april_BC12.cladeReads.."	"lineage"
"uncultured Limnohabitans sp."	"S"	768543	480	17	45	1	1	222	480	NA	269	7	280	NA	0.235	0.1064	0.235	0.0002569	0.04212	0.08971	0.1726	NA	0.1005	0.001919	0.1128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans>environmental&nbsp;samples"
"Limnohabitans sp."	"S"	1907725	325	17	22	NA	2	148	325	NA	177	5	177	NA	0.1168	0.1064	0.1149	NA	0.08425	0.05981	0.1168	NA	0.0661	0.001371	0.07132	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. MMS-10A-160"	"S"	1835766	102	5	14	NA	NA	52	102	NA	68	NA	59	1	0.1776	0.03131	0.07312	NA	NA	0.02101	0.03667	NA	0.02539	NA	0.02377	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. MWH-C6"	"S"	323424	133	4	18	NA	NA	75	133	NA	84	NA	91	NA	0.09401	0.02505	0.09401	NA	NA	0.03031	0.04782	NA	0.03137	NA	0.03667	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. GENT7"	"S"	1751097	14	3	3	NA	NA	1	14	NA	6	NA	8	NA	0.01879	0.01879	0.01567	NA	NA	0.0004041	0.005033	NA	0.002241	NA	0.003224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. CEP5"	"S"	1100710	7	2	NA	NA	NA	1	6	NA	7	NA	4	NA	0.01252	0.01252	NA	NA	NA	0.0004041	0.002157	NA	0.002614	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. 2KL-1"	"S"	1100699	6	1	NA	NA	NA	2	6	NA	4	NA	4	NA	0.006262	0.006262	NA	NA	NA	0.0008082	0.002157	NA	0.001494	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. Jir61"	"S"	1826168	2	1	NA	NA	NA	1	2	NA	1	NA	1	NA	0.006262	0.006262	NA	NA	NA	0.0004041	0.000719	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Limnohabitans sp. JirII-23"	"S"	1835752	5	1	NA	NA	NA	5	3	NA	3	NA	4	NA	0.006262	0.006262	NA	NA	NA	0.002021	0.001079	NA	0.00112	NA	0.001612	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Limnohabitans"
"Rhodoferax"	"G"	28065	684	42	96	2	4	380	684	NA	384	7	492	1	0.5014	0.263	0.5014	0.0005139	0.1685	0.1536	0.2459	NA	0.1434	0.001919	0.1982	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	54524	214	13	26	NA	3	102	214	NA	90	NA	140	NA	0.1358	0.0814	0.1358	NA	0.1264	0.04122	0.07694	NA	0.03361	NA	0.05641	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"uncultured Rhodoferax sp."	"S"	223188	213	13	26	NA	3	102	213	NA	90	NA	140	NA	0.1358	0.0814	0.1358	NA	0.1264	0.04122	0.07658	NA	0.03361	NA	0.05641	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax>environmental&nbsp;samples"
"Rhodoferax antarcticus"	"S"	81479	223	13	32	NA	NA	149	223	NA	157	NA	171	1	0.1776	0.0814	0.1671	NA	NA	0.06021	0.08017	NA	0.05863	NA	0.0689	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Albidiferax sp. 7B-398"	"S"	1391250	48	5	8	NA	NA	25	48	NA	23	NA	37	NA	0.04178	0.03131	0.04178	NA	NA	0.0101	0.01726	NA	0.008589	NA	0.01491	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax ferrireducens"	"S"	192843	51	3	8	NA	NA	23	51	NA	23	NA	28	NA	0.04178	0.01879	0.04178	NA	NA	0.009295	0.01834	NA	0.008589	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax sp. K128"	"S"	1793935	81	2	8	NA	NA	34	81	NA	32	NA	50	NA	0.04178	0.01252	0.04178	NA	NA	0.01374	0.02912	NA	0.01195	NA	0.02015	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax fermentans"	"S"	28066	7	1	3	2	NA	3	6	NA	2	7	3	NA	0.01567	0.006262	0.01567	0.0005139	NA	0.001212	0.002157	NA	0.0007469	0.001919	0.001209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax sp. KAR67"	"S"	431540	9	1	3	NA	NA	6	9	NA	3	NA	8	NA	0.01567	0.006262	0.01567	NA	NA	0.002425	0.003236	NA	0.00112	NA	0.003224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Albidiferax sp. 7B-403"	"S"	1391251	8	1	NA	NA	NA	3	NA	NA	8	NA	NA	NA	0.006262	0.006262	NA	NA	NA	0.001212	NA	NA	0.002988	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Rhodoferax saidenbachensis"	"S"	1484693	6	1	1	NA	NA	4	5	NA	5	NA	6	NA	0.006262	0.006262	0.005223	NA	NA	0.001616	0.001798	NA	0.001867	NA	0.002418	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Rhodoferax"
"Variovorax"	"G"	34072	634	39	79	1	4	342	634	NA	350	3	373	NA	0.4126	0.2442	0.4126	0.0002569	0.1685	0.1382	0.2279	NA	0.1307	0.0008225	0.1503	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	62669	200	10	28	NA	2	111	200	NA	101	1	121	NA	0.1462	0.06262	0.1462	NA	0.08425	0.04486	0.0719	NA	0.03772	0.0002742	0.04876	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"uncultured Variovorax sp."	"S"	114708	200	10	28	NA	2	111	200	NA	101	1	121	NA	0.1462	0.06262	0.1462	NA	0.08425	0.04486	0.0719	NA	0.03772	0.0002742	0.04876	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax>environmental&nbsp;samples"
"Variovorax paradoxus"	"S"	34073	105	9	19	NA	1	52	105	NA	56	NA	62	NA	0.09924	0.05636	0.09924	NA	0.04212	0.02101	0.03775	NA	0.02091	NA	0.02498	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. SRS16"	"S"	282217	62	5	6	NA	NA	43	62	NA	32	NA	27	NA	0.03134	0.03131	0.03134	NA	NA	0.01738	0.02229	NA	0.01195	NA	0.01088	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax soli"	"S"	376815	53	4	5	NA	NA	24	53	NA	37	NA	33	NA	0.02612	0.02505	0.02612	NA	NA	0.009699	0.01905	NA	0.01382	NA	0.0133	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. 43"	"S"	697444	28	3	3	NA	NA	11	28	NA	15	NA	23	NA	0.01879	0.01879	0.01567	NA	NA	0.004445	0.01007	NA	0.005602	NA	0.009268	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. P-59"	"S"	413360	2	1	NA	NA	NA	NA	2	NA	1	NA	1	NA	0.006262	0.006262	NA	NA	NA	NA	0.000719	NA	0.0003734	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax boronicumulans"	"S"	436515	4	1	NA	NA	NA	2	4	NA	3	NA	2	NA	0.006262	0.006262	NA	NA	NA	0.0008082	0.001438	NA	0.00112	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. C3005"	"S"	1211074	2	1	NA	NA	NA	NA	1	NA	NA	NA	2	NA	0.006262	0.006262	NA	NA	NA	NA	0.0003595	NA	NA	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. NW-2013-Rh12"	"S"	1390165	8	1	2	NA	NA	5	8	NA	4	NA	5	NA	0.01045	0.006262	0.01045	NA	NA	0.002021	0.002876	NA	0.001494	NA	0.002015	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. WP17"	"S"	1532863	23	1	3	NA	NA	5	23	NA	12	NA	9	NA	0.01567	0.006262	0.01567	NA	NA	0.002021	0.008269	NA	0.004481	NA	0.003627	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax sp. MsC-11-4CB3-02"	"S"	1550354	7	1	NA	NA	NA	2	7	NA	4	NA	2	NA	0.006262	0.006262	NA	NA	NA	0.0008082	0.002517	NA	0.001494	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Variovorax gossypii"	"S"	1679495	4	1	NA	NA	NA	4	4	NA	4	NA	1	NA	0.006262	0.006262	NA	NA	NA	0.001616	0.001438	NA	0.001494	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Variovorax"
"Delftia"	"G"	80865	408	28	38	3	3	221	408	NA	207	NA	275	1	0.1985	0.1753	0.1985	0.0007708	0.1264	0.08931	0.1467	NA	0.0773	NA	0.1108	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	97938	163	11	19	NA	1	86	163	NA	79	NA	108	NA	0.09924	0.06888	0.09924	NA	0.04212	0.03475	0.0586	NA	0.0295	NA	0.04352	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"uncultured Delftia sp."	"S"	191464	163	11	19	NA	1	86	163	NA	79	NA	108	NA	0.09924	0.06888	0.09924	NA	0.04212	0.03475	0.0586	NA	0.0295	NA	0.04352	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia>environmental&nbsp;samples"
"Delftia acidovorans"	"S"	80866	30	6	1	1	NA	22	30	NA	20	NA	23	NA	0.03757	0.03757	0.005223	0.0002569	NA	0.00889	0.01079	NA	0.007469	NA	0.009268	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia sp."	"S"	1886637	82	4	3	2	1	36	82	NA	34	NA	50	1	0.1776	0.02505	0.01567	0.0005139	0.04212	0.01455	0.02948	NA	0.0127	NA	0.02015	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia tsuruhatensis"	"S"	180282	51	3	9	NA	1	31	51	NA	34	NA	36	NA	0.04701	0.01879	0.04701	NA	0.04212	0.01253	0.01834	NA	0.0127	NA	0.01451	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia sp. 17(2015)"	"S"	1656860	28	2	NA	NA	NA	14	28	NA	22	NA	22	NA	0.01252	0.01252	NA	NA	NA	0.005658	0.01007	NA	0.008216	NA	0.008865	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Delftia sp. GW456-R20"	"S"	1827145	18	2	1	NA	NA	13	18	NA	5	NA	8	NA	0.01252	0.01252	0.005223	NA	NA	0.005253	0.006471	NA	0.001867	NA	0.003224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Delftia"
"Hydrogenophaga"	"G"	47420	294	25	35	2	NA	155	294	NA	193	3	229	NA	0.1828	0.1565	0.1828	0.0005139	NA	0.06264	0.1057	NA	0.07208	0.0008225	0.09227	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	199682	143	8	19	1	NA	66	143	NA	90	3	105	NA	0.09924	0.05009	0.09924	0.0002569	NA	0.02667	0.05141	NA	0.03361	0.0008225	0.04231	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"uncultured Hydrogenophaga sp."	"S"	199683	143	8	19	1	NA	66	143	NA	90	3	105	NA	0.09924	0.05009	0.09924	0.0002569	NA	0.02667	0.05141	NA	0.03361	0.0008225	0.04231	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga>environmental&nbsp;samples"
"Hydrogenophaga flava"	"S"	65657	29	6	1	NA	NA	16	29	NA	19	NA	23	NA	0.03757	0.03757	0.005223	NA	NA	0.006466	0.01043	NA	0.007096	NA	0.009268	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga taeniospiralis"	"S"	65656	11	3	1	NA	NA	3	2	NA	4	NA	11	NA	0.01879	0.01879	0.005223	NA	NA	0.001212	0.000719	NA	0.001494	NA	0.004432	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga defluvii"	"S"	249410	32	2	3	NA	NA	12	28	NA	27	NA	32	NA	0.01567	0.01252	0.01567	NA	NA	0.004849	0.01007	NA	0.01008	NA	0.01289	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga pseudoflava"	"S"	47421	1	1	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	0.0004041	0.0003595	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. C0015(2010)"	"S"	755223	1	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	0.0003595	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. FS13-1"	"S"	1180277	8	1	1	NA	NA	NA	8	NA	1	NA	NA	NA	0.006262	0.006262	0.005223	NA	NA	NA	0.002876	NA	0.0003734	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. N8S-2-6"	"S"	1194039	11	1	2	NA	NA	8	11	NA	7	NA	7	NA	0.01045	0.006262	0.01045	NA	NA	0.003233	0.003955	NA	0.002614	NA	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp. BT04"	"S"	1351592	4	1	2	NA	NA	3	4	NA	3	NA	3	NA	0.01045	0.006262	0.01045	NA	NA	0.001212	0.001438	NA	0.00112	NA	0.001209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"Hydrogenophaga sp."	"S"	1904254	8	1	1	NA	NA	5	8	NA	5	NA	8	NA	0.006262	0.006262	0.005223	NA	NA	0.002021	0.002876	NA	0.001867	NA	0.003224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Hydrogenophaga"
"environmental samples"	"-"	128082	536	25	63	2	3	247	536	NA	276	4	352	1	0.3291	0.1565	0.3291	0.0005139	0.1264	0.09982	0.1927	NA	0.1031	0.001097	0.1418	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"uncultured Comamonadaceae bacterium"	"S"	165437	536	25	63	2	3	247	536	NA	276	4	352	1	0.3291	0.1565	0.3291	0.0005139	0.1264	0.09982	0.1927	NA	0.1031	0.001097	0.1418	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>environmental&nbsp;samples"
"unclassified Comamonadaceae"	"-"	83494	604	24	64	NA	7	298	604	NA	342	NA	407	1	0.3343	0.1503	0.3343	NA	0.2949	0.1204	0.2172	NA	0.1277	NA	0.164	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Comamonadaceae bacterium BP-1"	"S"	212188	468	16	49	NA	3	231	468	NA	290	NA	321	1	0.2559	0.1002	0.2559	NA	0.1264	0.09335	0.1683	NA	0.1083	NA	0.1293	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Comamonadaceae bacterium I-Bh25-7"	"S"	682714	57	5	8	NA	2	33	57	NA	21	NA	42	NA	0.08425	0.03131	0.04178	NA	0.08425	0.01334	0.02049	NA	0.007842	NA	0.01692	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"glacier bacterium FJS17"	"S"	235640	18	2	2	NA	1	9	18	NA	9	NA	8	NA	0.04212	0.01252	0.01045	NA	0.04212	0.003637	0.006471	NA	0.003361	NA	0.003224	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Comamonadaceae bacterium PIC-C34"	"S"	351574	20	1	1	NA	1	6	20	NA	5	NA	5	NA	0.04212	0.006262	0.005223	NA	0.04212	0.002425	0.00719	NA	0.001867	NA	0.002015	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>unclassified&nbsp;Comamonadaceae"
"Curvibacter"	"G"	281915	391	14	43	2	1	216	391	NA	235	3	268	NA	0.2246	0.08766	0.2246	0.0005139	0.04212	0.08729	0.1406	NA	0.08776	0.0008225	0.108	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"environmental samples"	"-"	326293	319	12	30	2	1	185	319	NA	204	3	213	NA	0.1567	0.07514	0.1567	0.0005139	0.04212	0.07476	0.1147	NA	0.07618	0.0008225	0.08583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"uncultured Curvibacter sp."	"S"	326294	319	12	30	2	1	185	319	NA	204	3	213	NA	0.1567	0.07514	0.1567	0.0005139	0.04212	0.07476	0.1147	NA	0.07618	0.0008225	0.08583	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter>environmental&nbsp;samples"
"Curvibacter delicatus"	"S"	80879	3	1	1	NA	NA	NA	3	NA	NA	NA	1	NA	0.006262	0.006262	0.005223	NA	NA	NA	0.001079	NA	NA	NA	0.0004029	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Curvibacter sp. IMCC12707"	"S"	1029605	10	1	1	NA	NA	3	10	NA	4	NA	3	NA	0.006262	0.006262	0.005223	NA	NA	0.001212	0.003595	NA	0.001494	NA	0.001209	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Curvibacter"
"Diaphorobacter"	"G"	238749	143	10	21	NA	NA	85	143	NA	76	NA	104	NA	0.1097	0.06262	0.1097	NA	NA	0.03435	0.05141	NA	0.02838	NA	0.04191	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Diaphorobacter sp. DS1"	"S"	1302547	126	8	20	NA	NA	75	126	NA	68	NA	97	NA	0.1045	0.05009	0.1045	NA	NA	0.03031	0.0453	NA	0.02539	NA	0.03909	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Diaphorobacter"
"Diaphorobacter sp. PD-12"	"S"	301384	7	1	NA	NA	NA	2	7	NA	1	NA	2	NA	0.006262	0.006262	NA	NA	NA	0.0008082	0.002517	NA	0.0003734	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Diaphorobacter"
"Diaphorobacter sp. NPG-14"	"S"	1690110	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.006262	0.006262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Diaphorobacter"
"Brachymonas"	"G"	28219	82	5	8	NA	NA	49	82	NA	42	1	57	NA	0.04178	0.03131	0.04178	NA	NA	0.0198	0.02948	NA	0.01568	0.0002742	0.02297	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Brachymonas denitrificans"	"S"	28220	79	5	8	NA	NA	46	79	NA	41	1	54	NA	0.04178	0.03131	0.04178	NA	NA	0.01859	0.0284	NA	0.01531	0.0002742	0.02176	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Brachymonas"
"Pelomonas"	"G"	335058	68	4	9	1	NA	29	68	NA	49	NA	46	NA	0.04701	0.02505	0.04701	0.0002569	NA	0.01172	0.02445	NA	0.0183	NA	0.01854	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Pelomonas sp. UKW24"	"S"	1170461	3	2	1	NA	NA	1	3	NA	3	NA	2	NA	0.01252	0.01252	0.005223	NA	NA	0.0004041	0.001079	NA	0.00112	NA	0.0008059	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas"
"environmental samples"	"-"	360908	14	1	NA	NA	NA	7	14	NA	10	NA	7	NA	0.006262	0.006262	NA	NA	NA	0.002829	0.005033	NA	0.003734	NA	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas"
"uncultured Pelomonas sp."	"S"	360909	14	1	NA	NA	NA	7	14	NA	10	NA	7	NA	0.006262	0.006262	NA	NA	NA	0.002829	0.005033	NA	0.003734	NA	0.002821	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas>environmental&nbsp;samples"
"Pelomonas puraquae"	"S"	431059	37	1	7	NA	NA	13	37	NA	26	NA	28	NA	0.03656	0.006262	0.03656	NA	NA	0.005253	0.0133	NA	0.00971	NA	0.01128	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Pelomonas"
"Simplicispira"	"G"	352450	116	4	12	NA	NA	57	116	NA	85	2	93	1	0.1776	0.02505	0.06268	NA	NA	0.02303	0.0417	NA	0.03174	0.0005483	0.03747	0.1776	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
"Simplicispira metamorpha"	"S"	80881	101	4	12	NA	NA	48	101	NA	77	NA	74	NA	0.06268	0.02505	0.06268	NA	NA	0.0194	0.03631	NA	0.02876	NA	0.02982	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae>Simplicispira"
"Verminephrobacter"	"G"	364316	21	4	4	10	NA	15	21	NA	9	11	16	NA	0.02505	0.02505	0.02089	0.002569	NA	0.006062	0.00755	NA	0.003361	0.003016	0.006447	NA	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Comamonadaceae"
