"name"	"taxRank"	"taxID"	"Max"	"centrifuge_classification_june_BC01.kreport.cladeReads"	"centrifuge_classification_june_BC02.kreport.cladeReads"	"centrifuge_classification_june_BC03.kreport.cladeReads"	"centrifuge_classification_june_BC04.kreport.cladeReads"	"centrifuge_classification_june_BC05.kreport.cladeReads"	"centrifuge_classification_june_BC06.kreport.cladeReads"	"centrifuge_classification_june_BC08.kreport.cladeReads"	"centrifuge_classification_june_BC09.kreport.cladeReads"	"centrifuge_classification_june_BC10.kreport.cladeReads"	"centrifuge_classification_june_BC11.kreport.cladeReads"	"centrifuge_classification_june_BC12.kreport.cladeReads"	"Max.1"	"centrifuge_classification_june_BC01.kreport.cladeReads.."	"centrifuge_classification_june_BC02.kreport.cladeReads.."	"centrifuge_classification_june_BC03.kreport.cladeReads.."	"centrifuge_classification_june_BC04.kreport.cladeReads.."	"centrifuge_classification_june_BC05.kreport.cladeReads.."	"centrifuge_classification_june_BC06.kreport.cladeReads.."	"centrifuge_classification_june_BC08.kreport.cladeReads.."	"centrifuge_classification_june_BC09.kreport.cladeReads.."	"centrifuge_classification_june_BC10.kreport.cladeReads.."	"centrifuge_classification_june_BC11.kreport.cladeReads.."	"centrifuge_classification_june_BC12.kreport.cladeReads.."	"lineage"
"Oscillatoria nigro-viridis"	"S"	482564	83	83	3	74	NA	53	NA	NA	NA	NA	13	NA	0.04536	0.04139	0.04068	0.04536	NA	0.02725	NA	NA	NA	NA	0.01429	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Oscillatoria"
"Moorea"	"G"	1155738	59	59	1	47	NA	43	NA	NA	NA	NA	4	NA	0.02942	0.02942	0.01356	0.02881	NA	0.02211	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae"
"Moorea producens"	"S"	1155739	59	59	1	47	NA	43	NA	NA	NA	NA	4	NA	0.02942	0.02942	0.01356	0.02881	NA	0.02211	NA	NA	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Oscillatoriaceae>Moorea"
"Microcoleaceae"	"F"	1892252	590	590	17	555	NA	386	NA	5	NA	NA	47	NA	0.3402	0.2942	0.2305	0.3402	NA	0.1985	NA	0.002748	NA	NA	0.05165	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Microcoleus"	"G"	44471	558	558	15	486	NA	353	NA	2	NA	NA	28	NA	0.2979	0.2782	0.2034	0.2979	NA	0.1815	NA	0.001099	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Microcoleus sp. PCC 7113"	"S"	1173027	558	558	15	486	NA	353	NA	2	NA	NA	28	NA	0.2979	0.2782	0.2034	0.2979	NA	0.1815	NA	0.001099	NA	NA	0.03077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Microcoleus"
"Trichodesmium"	"G"	1205	69	32	2	69	NA	33	NA	3	NA	NA	19	NA	0.04229	0.01596	0.02712	0.04229	NA	0.01697	NA	0.001649	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae"
"Trichodesmium erythraeum"	"S"	1206	69	32	2	69	NA	33	NA	3	NA	NA	19	NA	0.04229	0.01596	0.02712	0.04229	NA	0.01697	NA	0.001649	NA	NA	0.02088	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Microcoleaceae>Trichodesmium"
"Coleofasciculaceae"	"F"	1892251	173	173	7	173	NA	117	NA	3	NA	NA	14	NA	0.106	0.08626	0.09493	0.106	NA	0.06016	NA	0.001649	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Geitlerinema"	"G"	63132	173	173	7	173	NA	117	NA	3	NA	NA	14	NA	0.106	0.08626	0.09493	0.106	NA	0.06016	NA	0.001649	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae"
"Geitlerinema sp. PCC 7407"	"S"	1173025	173	173	7	173	NA	117	NA	3	NA	NA	14	NA	0.106	0.08626	0.09493	0.106	NA	0.06016	NA	0.001649	NA	NA	0.01538	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Coleofasciculaceae>Geitlerinema"
"Gomontiellaceae"	"F"	1892255	108	108	1	100	NA	55	NA	NA	NA	NA	11	NA	0.0613	0.05385	0.01356	0.0613	NA	0.02828	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Crinalium"	"G"	241421	108	108	1	100	NA	55	NA	NA	NA	NA	11	NA	0.0613	0.05385	0.01356	0.0613	NA	0.02828	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae"
"Crinalium epipsammum"	"S"	241425	108	108	1	100	NA	55	NA	NA	NA	NA	11	NA	0.0613	0.05385	0.01356	0.0613	NA	0.02828	NA	NA	NA	NA	0.01209	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Gomontiellaceae>Crinalium"
"Cyanothecaceae"	"F"	1892249	63	63	1	56	NA	43	1	NA	NA	NA	10	NA	0.6757	0.03141	0.01356	0.03433	NA	0.02211	0.6757	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales"
"Cyanothece"	"G"	43988	63	63	1	56	NA	43	1	NA	NA	NA	10	NA	0.6757	0.03141	0.01356	0.03433	NA	0.02211	0.6757	NA	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae"
"Cyanothece sp. PCC 7822"	"S"	497965	5	5	NA	1	NA	NA	NA	NA	NA	NA	2	NA	0.002493	0.002493	NA	0.000613	NA	NA	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Cyanothece sp. ATCC 51142"	"S"	43989	6	4	NA	6	NA	1	1	NA	NA	NA	NA	NA	0.6757	0.001995	NA	0.003678	NA	0.0005142	0.6757	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Cyanothece sp. PCC 7425"	"S"	395961	4	2	NA	4	NA	2	NA	NA	NA	NA	NA	NA	0.002452	0.0009973	NA	0.002452	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Cyanothece sp. PCC 7424"	"S"	65393	2	1	1	1	NA	2	NA	NA	NA	NA	NA	NA	0.01356	0.0004986	0.01356	0.000613	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Oscillatoriales>Cyanothecaceae>Cyanothece"
"Chroococcales"	"O"	1118	1237	1237	49	1112	NA	841	NA	12	NA	1	189	NA	1.754	0.6168	0.6645	0.6816	NA	0.4324	NA	0.006596	NA	1.754	0.2077	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae"
"Chroococcaceae"	"F"	1890464	607	607	22	547	NA	403	NA	NA	NA	NA	152	NA	0.3353	0.3027	0.2983	0.3353	NA	0.2072	NA	NA	NA	NA	0.167	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Gloeocapsa"	"G"	102231	349	349	10	323	NA	244	NA	NA	NA	NA	142	NA	0.198	0.174	0.1356	0.198	NA	0.1255	NA	NA	NA	NA	0.156	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Gloeocapsa sp. PCC 7428"	"S"	1173026	349	349	10	323	NA	244	NA	NA	NA	NA	142	NA	0.198	0.174	0.1356	0.198	NA	0.1255	NA	NA	NA	NA	0.156	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Gloeocapsa"
"Chondrocystis"	"G"	268175	229	229	11	202	NA	142	NA	NA	NA	NA	9	NA	0.1492	0.1142	0.1492	0.1238	NA	0.07301	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Chondrocystis sp. NIES-4102"	"S"	2005460	229	229	11	202	NA	142	NA	NA	NA	NA	9	NA	0.1492	0.1142	0.1492	0.1238	NA	0.07301	NA	NA	NA	NA	0.00989	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Chondrocystis"
"Geminocystis"	"G"	669357	29	29	1	22	NA	17	NA	NA	NA	NA	1	NA	0.01446	0.01446	0.01356	0.01348	NA	0.008741	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae"
"Geminocystis sp. NIES-3709"	"S"	1617448	25	25	1	19	NA	17	NA	NA	NA	NA	1	NA	0.01356	0.01247	0.01356	0.01165	NA	0.008741	NA	NA	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Geminocystis sp. NIES-3708"	"S"	1615909	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0009973	0.0009973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis"
"Microcystaceae"	"F"	1890449	277	277	13	256	NA	196	NA	4	NA	1	10	NA	1.754	0.1381	0.1763	0.1569	NA	0.1008	NA	0.002199	NA	1.754	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Microcystis"	"G"	1125	277	277	13	256	NA	196	NA	4	NA	1	10	NA	1.754	0.1381	0.1763	0.1569	NA	0.1008	NA	0.002199	NA	1.754	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae"
"Microcystis aeruginosa"	"S"	1126	172	172	7	160	NA	130	NA	1	NA	1	5	NA	1.754	0.08577	0.09493	0.09807	NA	0.06684	NA	0.0005497	NA	1.754	0.005494	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Microcystis sp. MC19"	"S"	1967666	95	95	6	91	NA	64	NA	2	NA	NA	4	NA	0.08137	0.04737	0.08137	0.05578	NA	0.03291	NA	0.001099	NA	NA	0.004396	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Microcystaceae>Microcystis"
"Aphanothecaceae"	"F"	1890450	238	238	9	217	NA	157	NA	2	NA	NA	15	NA	0.133	0.1187	0.1221	0.133	NA	0.08073	NA	0.001099	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Candidatus Atelocyanobacterium"	"G"	1453359	236	236	9	211	NA	156	NA	2	NA	NA	15	NA	0.1293	0.1177	0.1221	0.1293	NA	0.08021	NA	0.001099	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Candidatus Atelocyanobacterium thalassa"	"S"	713887	236	236	9	211	NA	156	NA	2	NA	NA	15	NA	0.1293	0.1177	0.1221	0.1293	NA	0.08021	NA	0.001099	NA	NA	0.01648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Candidatus&nbsp;Atelocyanobacterium"
"Halothece cluster"	"-"	92682	6	2	NA	6	NA	1	NA	NA	NA	NA	NA	NA	0.003678	0.0009973	NA	0.003678	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae"
"Halothece"	"G"	76023	6	2	NA	6	NA	1	NA	NA	NA	NA	NA	NA	0.003678	0.0009973	NA	0.003678	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster"
"Halothece sp. PCC 7418"	"S"	65093	6	2	NA	6	NA	1	NA	NA	NA	NA	NA	NA	0.003678	0.0009973	NA	0.003678	NA	0.0005142	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Aphanothecaceae>Halothece&nbsp;cluster>Halothece"
"Cyanobacteriaceae"	"F"	1890452	97	97	3	71	NA	57	NA	6	NA	NA	8	NA	0.04837	0.04837	0.04068	0.04352	NA	0.02931	NA	0.003298	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales"
"Cyanobacterium"	"G"	102234	97	97	3	71	NA	57	NA	6	NA	NA	8	NA	0.04837	0.04837	0.04068	0.04352	NA	0.02931	NA	0.003298	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae"
"Cyanobacterium aponinum"	"S"	379064	97	97	3	71	NA	57	NA	6	NA	NA	8	NA	0.04837	0.04837	0.04068	0.04352	NA	0.02931	NA	0.003298	NA	NA	0.008791	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Cyanobacteriaceae>Cyanobacterium"
"Gloeobacteria"	"C"	307596	217	207	6	217	NA	147	NA	1	NA	NA	10	NA	0.133	0.1032	0.08137	0.133	NA	0.07558	NA	0.0005497	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Gloeobacterales"	"O"	307595	217	207	6	217	NA	147	NA	1	NA	NA	10	NA	0.133	0.1032	0.08137	0.133	NA	0.07558	NA	0.0005497	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria"
"Gloeobacteraceae"	"F"	1890422	217	207	6	217	NA	147	NA	1	NA	NA	10	NA	0.133	0.1032	0.08137	0.133	NA	0.07558	NA	0.0005497	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria>Gloeobacterales"
"Gloeobacter"	"G"	33071	217	207	6	217	NA	147	NA	1	NA	NA	10	NA	0.133	0.1032	0.08137	0.133	NA	0.07558	NA	0.0005497	NA	NA	0.01099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria>Gloeobacterales>Gloeobacteraceae"
"Gloeobacter violaceus"	"S"	33072	17	12	1	15	NA	17	NA	NA	NA	NA	2	NA	0.01356	0.005984	0.01356	0.009194	NA	0.008741	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria>Gloeobacterales>Gloeobacteraceae>Gloeobacter"
"Gloeobacter kilaueensis"	"S"	1416614	17	7	1	17	NA	12	NA	NA	NA	NA	2	NA	0.01356	0.00349	0.01356	0.01042	NA	0.00617	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Gloeobacteria>Gloeobacterales>Gloeobacteraceae>Gloeobacter"
"Pleurocapsales"	"O"	52604	19	18	1	19	NA	12	NA	2	NA	NA	7	NA	0.01356	0.008975	0.01356	0.01165	NA	0.00617	NA	0.001099	NA	NA	0.007692	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Dermocarpellaceae"	"F"	1890498	11	9	1	11	NA	5	NA	1	NA	NA	1	NA	0.01356	0.004488	0.01356	0.006742	NA	0.002571	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales"
"Stanieria"	"G"	102115	11	9	1	11	NA	5	NA	1	NA	NA	1	NA	0.01356	0.004488	0.01356	0.006742	NA	0.002571	NA	0.0005497	NA	NA	0.001099	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Dermocarpellaceae"
"Stanieria cyanosphaera"	"S"	102116	4	4	1	3	NA	2	NA	NA	NA	NA	NA	NA	0.01356	0.001995	0.01356	0.001839	NA	0.001028	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Dermocarpellaceae>Stanieria"
"Hyellaceae"	"F"	1890500	9	9	NA	8	NA	7	NA	1	NA	NA	6	NA	0.006593	0.004488	NA	0.004904	NA	0.003599	NA	0.0005497	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales"
"Pleurocapsa"	"G"	44474	9	9	NA	8	NA	7	NA	1	NA	NA	6	NA	0.006593	0.004488	NA	0.004904	NA	0.003599	NA	0.0005497	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Hyellaceae"
"Pleurocapsa minor"	"S"	54308	9	9	NA	8	NA	7	NA	1	NA	NA	6	NA	0.006593	0.004488	NA	0.004904	NA	0.003599	NA	0.0005497	NA	NA	0.006593	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Pleurocapsales>Hyellaceae>Pleurocapsa"
"Chroococcidiopsidales"	"O"	1890505	6	6	NA	3	NA	4	NA	NA	NA	NA	2	NA	0.002992	0.002992	NA	0.001839	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"Chroococcidiopsidaceae"	"F"	1890528	6	6	NA	3	NA	4	NA	NA	NA	NA	2	NA	0.002992	0.002992	NA	0.001839	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Chroococcidiopsidales"
"Chroococcidiopsis"	"G"	54298	6	6	NA	3	NA	4	NA	NA	NA	NA	2	NA	0.002992	0.002992	NA	0.001839	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Chroococcidiopsidales>Chroococcidiopsidaceae"
"Chroococcidiopsis thermalis"	"S"	54299	6	6	NA	3	NA	4	NA	NA	NA	NA	2	NA	0.002992	0.002992	NA	0.001839	NA	0.002057	NA	NA	NA	NA	0.002198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Chroococcidiopsidales>Chroococcidiopsidaceae>Chroococcidiopsis"
"unclassified Cyanobacteria"	"-"	34079	4	4	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	0.001995	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria"
"unclassified Cyanobacteria (miscellaneous)"	"-"	1983111	4	4	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	0.001995	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>unclassified&nbsp;Cyanobacteria"
"cyanobacterium endosymbiont of Epithemia turgida"	"S"	718217	4	4	NA	1	NA	1	NA	NA	NA	NA	3	NA	0.003297	0.001995	NA	0.000613	NA	0.0005142	NA	NA	NA	NA	0.003297	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>unclassified&nbsp;Cyanobacteria>unclassified&nbsp;Cyanobacteria&nbsp;(miscellaneous)"
"Firmicutes"	"P"	1239	68751	32418	896	27964	8	22719	7	68751	8	3	3238	7	37.79	16.16	12.15	17.14	5	11.68	4.73	37.79	7.339	5.263	3.558	3.804	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group"
"Clostridia"	"C"	186801	15567	15567	417	13668	3	10625	1	1694	NA	2	1210	2	8.378	7.762	5.655	8.378	1.875	5.463	0.6757	0.9311	NA	3.509	1.33	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes"
"Clostridiales"	"O"	186802	14355	14355	386	12632	3	9726	1	1327	NA	2	1012	2	7.743	7.158	5.235	7.743	1.875	5.001	0.6757	0.7294	NA	3.509	1.112	1.087	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia"
"Peptococcaceae"	"F"	186807	13039	13039	338	11618	NA	8684	NA	299	NA	1	527	1	7.121	6.502	4.584	7.121	NA	4.465	NA	0.1644	NA	1.754	0.5791	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales"
"Candidatus Desulforudis"	"G"	471826	12708	12708	331	11335	NA	8475	NA	19	NA	1	495	1	6.948	6.337	4.489	6.948	NA	4.358	NA	0.01044	NA	1.754	0.544	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
"Candidatus Desulforudis audaxviator"	"S"	471827	12708	12708	331	11335	NA	8475	NA	19	NA	1	495	1	6.948	6.337	4.489	6.948	NA	4.358	NA	0.01044	NA	1.754	0.544	0.5435	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae>Candidatus&nbsp;Desulforudis"
"Desulfotomaculum"	"G"	1562	278	278	6	247	NA	179	NA	129	NA	NA	20	NA	0.1514	0.1386	0.08137	0.1514	NA	0.09204	NA	0.07091	NA	NA	0.02198	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Peptococcaceae"
